レベル,都道府県名,自治体名,URL
Pref,北海道,,http://www.pref.hokkaido.lg.jp/
Pref,青森県,,https://www.pref.aomori.lg.jp/
Pref,岩手県,,https://www.pref.iwate.jp/
Pref,宮城県,,https://www.pref.miyagi.jp/
Pref,秋田県,,https://www.pref.akita.lg.jp/
Pref,山形県,,https://www.pref.yamagata.jp/
Pref,福島県,,https://www.pref.fukushima.lg.jp/
Pref,茨城県,,https://www.pref.ibaraki.jp
Pref,栃木県,,https://www.pref.tochigi.lg.jp/
Pref,群馬県,,https://www.pref.gunma.jp/
Pref,埼玉県,,https://www.pref.saitama.lg.jp/
Pref,千葉県,,https://www.pref.chiba.lg.jp/
Pref,東京都,,https://www.metro.tokyo.lg.jp/
Pref,神奈川県,,https://www.pref.kanagawa.jp/
Pref,新潟県,,https://www.pref.niigata.lg.jp/
Pref,富山県,,http://www.pref.toyama.jp/
Pref,石川県,,https://www.pref.ishikawa.lg.jp/
Pref,福井県,,https://www.pref.fukui.lg.jp/
Pref,山梨県,,https://www.pref.yamanashi.jp/
Pref,長野県,,https://www.pref.nagano.lg.jp/
Pref,岐阜県,,https://www.pref.gifu.lg.jp/
Pref,静岡県,,https://www.pref.shizuoka.jp/
Pref,愛知県,,https://www.pref.aichi.jp/
Pref,三重県,,https://www.pref.mie.lg.jp/
Pref,滋賀県,,https://www.pref.shiga.lg.jp/
Pref,京都府,,https://www.pref.kyoto.jp/
Pref,大阪府,,http://www.pref.osaka.lg.jp/
Pref,兵庫県,,https://web.pref.hyogo.lg.jp/
Pref,奈良県,,http://www.pref.nara.jp/
Pref,和歌山県,,https://www.pref.wakayama.lg.jp/
Pref,鳥取県,,https://www.pref.tottori.lg.jp/
Pref,島根県,,https://www.pref.shimane.lg.jp/
Pref,岡山県,,https://www.pref.okayama.jp/
Pref,広島県,,https://www.pref.hiroshima.lg.jp/
Pref,山口県,,https://www.pref.yamaguchi.lg.jp/
Pref,徳島県,,https://www.pref.tokushima.lg.jp/
Pref,香川県,,https://www.pref.kagawa.lg.jp/
Pref,愛媛県,,https://www.pref.ehime.jp/
Pref,高知県,,https://www.pref.kochi.lg.jp/
Pref,福岡県,,https://www.pref.fukuoka.lg.jp/
Pref,佐賀県,,https://www.pref.saga.lg.jp/
Pref,長崎県,,https://www.pref.nagasaki.jp/
Pref,熊本県,,https://www.pref.kumamoto.jp/
Pref,大分県,,https://www.pref.oita.jp/
Pref,宮崎県,,https://www.pref.miyazaki.lg.jp/
Pref,鹿児島県,,https://www.pref.kagoshima.jp/
Pref,沖縄県,,https://www.pref.okinawa.lg.jp/
City,北海道,札幌市,https://www.city.sapporo.jp/
City,北海道,赤平市,https://www.city.akabira.hokkaido.jp/
City,北海道,旭川市,https://www.city.asahikawa.hokkaido.jp/
City,北海道,芦別市,https://www.city.ashibetsu.hokkaido.jp/
City,北海道,網走市,https://www.city.abashiri.hokkaido.jp/
City,北海道,石狩市,https://www.city.ishikari.hokkaido.jp/
City,北海道,岩見沢市,https://www.city.iwamizawa.hokkaido.jp/
City,北海道,歌志内市,https://www.city.utashinai.hokkaido.jp/
City,北海道,恵庭市,https://www.city.eniwa.hokkaido.jp/
City,北海道,江別市,https://www.city.ebetsu.hokkaido.jp/
City,北海道,小樽市,https://www.city.otaru.lg.jp/
City,北海道,帯広市,https://www.city.obihiro.hokkaido.jp/
City,北海道,北広島市,https://www.city.kitahiroshima.hokkaido.jp/
City,北海道,北見市,https://www.city.kitami.lg.jp/
City,北海道,釧路市,https://www.city.kushiro.lg.jp/
City,北海道,士別市,https://www.city.shibetsu.lg.jp/
City,北海道,砂川市,http://www.city.sunagawa.lg.jp
City,北海道,滝川市,https://www.city.takikawa.hokkaido.jp/
City,北海道,伊達市,https://www.city.date.hokkaido.jp/
City,北海道,千歳市,https://www.city.chitose.lg.jp/
City,北海道,苫小牧市,https://www.city.tomakomai.hokkaido.jp/
City,北海道,名寄市,http://www.city.nayoro.lg.jp/
City,北海道,根室市,https://www.city.nemuro.hokkaido.jp/
City,北海道,登別市,https://www.city.noboribetsu.lg.jp/
City,北海道,函館市,https://www.city.hakodate.hokkaido.jp
City,北海道,美唄市,http://www.city.bibai.hokkaido.jp/
City,北海道,深川市,https://www.city.fukagawa.lg.jp/
City,北海道,富良野市,http://www.city.furano.hokkaido.jp/
City,北海道,北斗市,https://www.city.hokuto.hokkaido.jp/
City,北海道,三笠市,https://www.city.mikasa.hokkaido.jp/
City,北海道,室蘭市,https://www.city.muroran.lg.jp/
City,北海道,紋別市,https://mombetsu.jp/
City,北海道,夕張市,https://www.city.yubari.lg.jp/
City,北海道,留萌市,https://www.e-rumoi.jp/
City,北海道,稚内市,https://www.city.wakkanai.hokkaido.jp/
City,青森県,青森市,https://www.city.aomori.aomori.jp/
City,青森県,黒石市,http://www.city.kuroishi.aomori.jp/
City,青森県,五所川原市,http://www.city.goshogawara.lg.jp/
City,青森県,つがる市,https://www.city.tsugaru.aomori.jp/
City,青森県,十和田市,https://www.city.towada.lg.jp/
City,青森県,八戸市,https://www.city.hachinohe.aomori.jp/
City,青森県,平川市,https://www.city.hirakawa.lg.jp/
City,青森県,弘前市,http://www.city.hirosaki.aomori.jp/
City,青森県,三沢市,https://www.city.misawa.lg.jp/
City,青森県,むつ市,https://www.city.mutsu.lg.jp/
City,岩手県,一関市,https://www.city.ichinoseki.iwate.jp/
